rollback_record_id,candidate_record_id,batch_id,original_source_path,source_parent,source_sha256_current,source_bytes,source_modified_time,future_destination_path,copy_receipt_identifier_reserved,post_copy_hash_field_available,verification_state_field_available,non_destructive_rollback_rule_present,separate_destruction_authorization_required,rollback_status,blocking_notes
RB-02G-0001,CAND-02G-0002,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,cb3a680d903fe6bc0be6a23f640e2b67a3a2f0c700c847894f2db83cc91f4054,9042,2026-07-13T03:14:19.2860000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\01_PROGRAM_GOVERNANCE\CL_CONV_001_CHACHIPTI_PACKET_AUDIT_2026-07-12.md,COPY-RCPT-RESERVED-MAP02C-0002,YES,YES,YES,YES,READY,
RB-02G-0002,CAND-02G-0003,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,98ebaec3f432ebf4d3cf34daf0e1fd8b40ac3bc6c0a29a9a3d8f377a9962dffe,4990,2026-07-13T12:41:43.7340000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_CURSOR_READONLY_INVENTORY_PACKET_2026-07-13.md,COPY-RCPT-RESERVED-MAP02C-0003,YES,YES,YES,YES,READY,
RB-02G-0003,CAND-02G-0004,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,66eef2386e14a8602738e7f9cc5f3cfd3c83cf50ba218ff043de7ea684e6967c,2060,2026-07-13T12:41:53.3330000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_EVIDENCE_FREEZE_COMPLETION_REPORT_2026-07-13.md,COPY-RCPT-RESERVED-MAP02C-0004,YES,YES,YES,YES,READY,
RB-02G-0004,CAND-02G-0007,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,6017f61299c9aa11319ef25fa505098dec4e0729800917f04e73da9c29115609,10531,2026-07-13T12:43:03.8870000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,COPY-RCPT-RESERVED-MAP02C-0007,YES,YES,YES,YES,READY,
RB-02G-0005,CAND-02G-0008,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,af019314861256545b691307d9593f62f260e92c62c05c7b39c07cec18506228,4336,2026-07-13T12:41:10.6120000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.md,COPY-RCPT-RESERVED-MAP02C-0008,YES,YES,YES,YES,READY,
RB-02G-0006,CAND-02G-0009,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,ef53e1a4342cec06abd78ca04de2ee911a42809c0054f38a1a6916bd7f983434,24954,2026-07-13T12:42:44.0420000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,COPY-RCPT-RESERVED-MAP02C-0009,YES,YES,YES,YES,READY,
RB-02G-0007,CAND-02G-0010,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,e4caeaba165b32f76022b8194c68d3b3cc6c2d327376fe94db35044630a8ff29,11517,2026-07-13T12:41:00.2350000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,COPY-RCPT-RESERVED-MAP02C-0010,YES,YES,YES,YES,READY,
RB-02G-0008,CAND-02G-0011,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,012d6f93f20d8399079688dd8b4fdeeea246468bc750ea2fe97814f4deb178ed,2054,2026-07-13T12:43:29.2020000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_PACKAGE_MANIFEST_2026-07-13.json,COPY-RCPT-RESERVED-MAP02C-0011,YES,YES,YES,YES,READY,
RB-02G-0009,CAND-02G-0012,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,39723cf4cabfd16ccb106c4f4fd3ef106bce5a49760d91be7f1cef03de34cad1,8606,2026-07-13T12:43:12.3710000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,COPY-RCPT-RESERVED-MAP02C-0012,YES,YES,YES,YES,READY,
RB-02G-0010,CAND-02G-0013,CL-MIG-001A,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001,dad4f5dd49b9c685e903e4a7a516ab328e81501a4a29f334843dbc6c7348f87f,3635,2026-07-13T12:41:32.7860000Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\03_PHASE_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.md,COPY-RCPT-RESERVED-MAP02C-0013,YES,YES,YES,YES,READY,
